Num Servers,Num Clients,Average Pos,Median Pos,Elapsed
30,1,22.19,16,59.19
30,2,25.43,21,26.4
30,4,20.53,14,19.04
30,8,26.42,18,8.63
30,16,25.16,18,6.07
30,32,26.99,17,3.75
30,64,29.36,19,4.2
30,128,41.12,25,3.51
10,1,6.76,5,52.12
10,2,7.38,5,21.1
10,4,6.5,4,22.98
10,8,8.62,5,8.602
10,16,8.839,5,8.097
10,32,11.13,6,12.22
10,64,12.65,7,3.499
10,128,22.22,13,2.85
3,1,1.545,0,45.27
3,2,1.618,1,31.26
3,4,2.714,1,14.4
3,8,2.636,1,7.992
3,16,3.663,2,8.169
3,32,4.324,2,3.267
3,64,8.858,4,2.979
3,128,14.79,7,2.892
